"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1725138000";"01.09.2024 00:00";"619,5";"480,6";"660,1";"491,5"
"1725141600";"01.09.2024 01:00";"585,4";"486,4";"605,6";"508,9"
"1725145200";"01.09.2024 02:00";"563";"508,6";"571,8";"501,6"
"1725148800";"01.09.2024 03:00";"554";"521,7";"586,3";"490,5"
"1725152400";"01.09.2024 04:00";"555,5";"475,2";"616,8";"504"
"1725156000";"01.09.2024 05:00";"566,5";"453,5";"598,4";"478,7"
"1725159600";"01.09.2024 06:00";"614,9";"508,4";"596";"469,9"
"1725163200";"01.09.2024 07:00";"683,6";"566,9";"631,2";"498,4"
"1725166800";"01.09.2024 08:00";"687,8";"657,5";"683,7";"577,2"
"1725170400";"01.09.2024 09:00";"666,1";"735,8";"743,9";"695"
"1725174000";"01.09.2024 10:00";"691,1";"796";"710,5";"807,9"
"1725177600";"01.09.2024 11:00";"698,9";"833,5";"727,2";"885,8"
"1725181200";"01.09.2024 12:00";"708,6";"832,8";"746,2";"857,9"
"1725184800";"01.09.2024 13:00";"680,4";"793,6";"737,3";"899,2"
"1725188400";"01.09.2024 14:00";"631,5";"722,7";"737,8";"865,1"
"1725192000";"01.09.2024 15:00";"644,6";"639";"769,6";"770,6"
"1725195600";"01.09.2024 16:00";"626,3";"540,3";"791,1";"701,3"
"1725199200";"01.09.2024 17:00";"675,9";"435,4";"783,1";"571"
"1725202800";"01.09.2024 18:00";"700";"351,7";"800,5";"455,8"
"1725206400";"01.09.2024 19:00";"727,5";"320,2";"788,6";"390,9"
"1725210000";"01.09.2024 20:00";"767,4";"324,1";"797,1";"360,6"
"1725213600";"01.09.2024 21:00";"754";"328";"786,4";"372,4"
"1725217200";"01.09.2024 22:00";"694,1";"304,4";"725,4";"346,5"
"1725220800";"01.09.2024 23:00";"632,6";"315,9";"669,2";"351,4"
"1725224400";"02.09.2024 00:00";"591,1";"319,7";"629,7";"343,2"
"1725228000";"02.09.2024 01:00";"565,1";"341,5";"610,6";"374,7"
"1725231600";"02.09.2024 02:00";"555,1";"333,9";"605,9";"367,9"
"1725235200";"02.09.2024 03:00";"548,3";"336,1";"607,6";"376,7"
"1725238800";"02.09.2024 04:00";"558,6";"374,2";"617,7";"377,6"
"1725242400";"02.09.2024 05:00";"581,9";"391,9";"602";"344,8"
"1725246000";"02.09.2024 06:00";"727,6";"498,9";"707,5";"451,3"
"1725249600";"02.09.2024 07:00";"864,9";"603,6";"799,6";"558"
"1725253200";"02.09.2024 08:00";"906,6";"698,2";"882,1";"626,2"
"1725256800";"02.09.2024 09:00";"851,7";"749,3";"951,6";"758"
