"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"Tarbimine";"Tootmine";"Planeeritud tarbimine";"Planeeritud tootmine"
"1757106000";"06.09.2025 00:00";"705,3";"379,8";"727,125";"377,275"
"1757109600";"06.09.2025 01:00";"675,3";"361";"651,525";"381,375"
"1757113200";"06.09.2025 02:00";"657,8";"386,5";"642,85";"376,875"
"1757116800";"06.09.2025 03:00";"641,8";"360,8";"634,575";"368,45"
"1757120400";"06.09.2025 04:00";"630,5";"344,3";"610,65";"361"
"1757124000";"06.09.2025 05:00";"640";"326,4";"617,95";"344,375"
"1757127600";"06.09.2025 06:00";"641,5";"392";"618,1";"352,075"
"1757131200";"06.09.2025 07:00";"735,7";"487,5";"683,75";"393,025"
"1757134800";"06.09.2025 08:00";"812,7";"583,5";"768,925";"483,65"
"1757138400";"06.09.2025 09:00";"839,2";"672,5";"799,225";"583,2"
"1757142000";"06.09.2025 10:00";"780";"776,6";"797,625";"692,1"
"1757145600";"06.09.2025 11:00";"737,3";"856,6";"800,625";"786,3"
"1757149200";"06.09.2025 12:00";"853";"876";"802,725";"789,1"
"1757152800";"06.09.2025 13:00";"858";"882,9";"799,35";"787,35"
"1757156400";"06.09.2025 14:00";"776,9";"832,6";"788,375";"754,9"
"1757160000";"06.09.2025 15:00";"807,7";"732,4";"808,15";"704,475"
"1757163600";"06.09.2025 16:00";"839,3";"622,8";"795,9";"618,6"
"1757167200";"06.09.2025 17:00";"830,6";"471,2";"808,325";"473,65"
"1757170800";"06.09.2025 18:00";"774,9";"373,6";"800,525";"372,175"
"1757174400";"06.09.2025 19:00";"802";"315,4";"797,125";"307,125"
"1757178000";"06.09.2025 20:00";"823,5";"335,7";"801,6";"315,875"
"1757181600";"06.09.2025 21:00";"813,3";"334,6";"800,025";"319,025"
"1757185200";"06.09.2025 22:00";"771,5";"319,6";"772,575";"313,525"
"1757188800";"06.09.2025 23:00";"729,3";"323,9";"723,425";"317,075"
"1757192400";"07.09.2025 00:00";"696,3";"289,9";"703,05";"318,125"
"1757196000";"07.09.2025 01:00";"653,4";"277,6";"657,05";"311,525"
"1757199600";"07.09.2025 02:00";"623,7";"300,1";"589,3";"283,85"
"1757203200";"07.09.2025 03:00";"609,5";"324,2";"581,925";"280,35"
"1757206800";"07.09.2025 04:00";"615,3";"321,4";"608,125";"281,2"
"1757210400";"07.09.2025 05:00";"625,9";"317,8";"624,525";"280,975"
"1757214000";"07.09.2025 06:00";"662,3";"342,5";"645,525";"279,575"
"1757217600";"07.09.2025 07:00";"745,2";"386,2";"662,675";"319,975"
"1757221200";"07.09.2025 08:00";"850,6";"516,1";"689,25";"380,75"
"1757224800";"07.09.2025 09:00";"978,9";"650";"749,2";"495,7"
"1757228400";"07.09.2025 10:00";"1093,7";"789,6";"784,75";"608,8"
"1757232000";"07.09.2025 11:00";"984,9";"864,6";"801,5";"672,7"
"1757235600";"07.09.2025 12:00";"926,7";"904,8";"792,375";"732,4"
"1757239200";"07.09.2025 13:00";"903";"883,9";"810,225";"748,85"
"1757242800";"07.09.2025 14:00";"898,5";"857,6";"782,65";"734,625"
"1757246400";"07.09.2025 15:00";"818";"756,9";"770,775";"669,225"
"1757250000";"07.09.2025 16:00";"809,8";"625,1";"786,725";"584,6"
"1757253600";"07.09.2025 17:00";"785,8";"470,4";"802,65";"457,875"
"1757257200";"07.09.2025 18:00";"818,4";"358,4";"816,725";"354,175"
"1757260800";"07.09.2025 19:00";"820,2";"291,3";"823,175";"283,85"
"1757264400";"07.09.2025 20:00";"845,1";"298";"825,45";"272,9"
"1757268000";"07.09.2025 21:00";"810,8";"331,2";"803,975";"287,025"
"1757271600";"07.09.2025 22:00";"777,8";"331,7";"791,55";"298,3"
"1757275200";"07.09.2025 23:00";"723,4";"326,1";"731,225";"304,5"
"1757278800";"08.09.2025 00:00";"688,5";"330,2";"688,225";"299,55"
"1757282400";"08.09.2025 01:00";"641,5";"334,3";"658,375";"328,875"
"1757286000";"08.09.2025 02:00";"642,2";"332,7";"613,8";"301,475"
"1757289600";"08.09.2025 03:00";"624,3";"335,9";"620,125";"322,9"
"1757293200";"08.09.2025 04:00";"637,9";"301,2";"648,325";"297,725"
"1757296800";"08.09.2025 05:00";"665,8";"291,6";"671,125";"284,975"
"1757300400";"08.09.2025 06:00";"753,7";"343,7";"711";"304,175"
"1757304000";"08.09.2025 07:00";"913,5";"452,7";"805,05";"360,625"
"1757307600";"08.09.2025 08:00";"998,4";"589,3";"911,175";"477,125"
"1757311200";"08.09.2025 09:00";"971,6";"762,6";"925,275";"642,85"
"1757314800";"08.09.2025 10:00";"944,8";"906,8";"916,35";"796,85"
"1757318400";"08.09.2025 11:00";"914,8";"979,2";"871,075";"871,825"
"1757322000";"08.09.2025 12:00";"922,5";"1026,2";"831,175";"922,6"
"1757325600";"08.09.2025 13:00";"847,2";"1024,7";"824,4";"907,625"
"1757329200";"08.09.2025 14:00";"827,7";"963,2";"858,9";"871,85"
"1757332800";"08.09.2025 15:00";"800,9";"855,6";"897,9";"856,125"
"1757336400";"08.09.2025 16:00";"762,5";"688,1";"876,3";"715,375"
"1757340000";"08.09.2025 17:00";"811";"531,2";"864,525";"555,025"
"1757343600";"08.09.2025 18:00";"887,3";"381,1";"886,825";"390,3"
"1757347200";"08.09.2025 19:00";"895,8";"331,3";"890,1";"345,95"
"1757350800";"08.09.2025 20:00";"910,1";"370,1";"888,75";"355,8"
"1757354400";"08.09.2025 21:00";"880,1";"344,3";"869,75";"365,975"
"1757358000";"08.09.2025 22:00";"820,8";"324,6";"798,4";"335,6"
"1757361600";"08.09.2025 23:00";"755,6";"339";"721,5";"344"
"1757365200";"09.09.2025 00:00";"707,8";"383,2";"677,275";"347,4"
"1757368800";"09.09.2025 01:00";"665,5";"395,3";"673,55";"364,95"
"1757372400";"09.09.2025 02:00";"649,7";"372,5";"661,5";"337,375"
"1757376000";"09.09.2025 03:00";"645,5";"318,2";"643,875";"329,8"
"1757379600";"09.09.2025 04:00";"650,8";"299,8";"643,6";"312,6"
"1757383200";"09.09.2025 05:00";"685,6";"285,9";"660,375";"290,95"
"1757386800";"09.09.2025 06:00";"800";"325,9";"729,675";"288,625"
"1757390400";"09.09.2025 07:00";"945,7";"470,6";"824,725";"342,375"
"1757394000";"09.09.2025 08:00";"1021,1";"646";"905,7";"511,05"
"1757397600";"09.09.2025 09:00";"987,6";"778";"954,4";"671,15"
"1757401200";"09.09.2025 10:00";"944,2";"901";"942,5";"800,975"
"1757404800";"09.09.2025 11:00";"938,4";"969,2";"933,55";"879,5"
"1757408400";"09.09.2025 12:00";"986,9";"1017,6";"898,1";"905,925"
"1757412000";"09.09.2025 13:00";"1003,1";"1085,8";"898,575";"893,925"
"1757415600";"09.09.2025 14:00";"968,5";"974,1";"886,6";"839,325"
"1757419200";"09.09.2025 15:00";"924,3";"851,1";"940,2";"762,825"
"1757422800";"09.09.2025 16:00";"856,4";"699,7";"942,675";"684,625"
"1757426400";"09.09.2025 17:00";"858,2";"546,8";"908,7";"533,675"
"1757430000";"09.09.2025 18:00";"898,1";"404,7";"898,875";"376,025"
"1757433600";"09.09.2025 19:00";"887,2";"299,9";"892,375";"299,2"
"1757437200";"09.09.2025 20:00";"908,1";"334,6";"908,325";"331,85"
"1757440800";"09.09.2025 21:00";"895,4";"318,6";"867,1";"326,225"
"1757444400";"09.09.2025 22:00";"829,1";"363,1";"812,525";"335,55"
"1757448000";"09.09.2025 23:00";"765,4";"370,3";"750,1";"351,125"
"1757451600";"10.09.2025 00:00";"708,3";"401,4";"698,55";"358,575"
"1757455200";"10.09.2025 01:00";"677";"401,5";"661,7";"362,8"
"1757458800";"10.09.2025 02:00";"654";"398,8";"665,675";"371,95"
"1757462400";"10.09.2025 03:00";"655,2";"380,2";"668,65";"370,25"
"1757466000";"10.09.2025 04:00";"657,6";"336";"667,075";"359,925"
"1757469600";"10.09.2025 05:00";"664,4";"351,2";"665,225";"333,575"
"1757473200";"10.09.2025 06:00";"786,4";"390,2";"769,05";"345,55"
"1757476800";"10.09.2025 07:00";"911,9";"496,1";"872,1";"383,375"
"1757480400";"10.09.2025 08:00";"943,8";"561,2";"969,35";"494,525"
"1757484000";"10.09.2025 09:00";"883,3";"649,9";"940";"632,225"
"1757487600";"10.09.2025 10:00";"820,7";"779,3";"946,05";"786,725"
"1757491200";"10.09.2025 11:00";"794";"912,1";"941,875";"890,85"
"1757494800";"10.09.2025 12:00";"769,9";"976,9";"962,25";"960,075"
"1757498400";"10.09.2025 13:00";"824";"938";"970,4";"973,05"
"1757502000";"10.09.2025 14:00";"796,4";"886,2";"957,75";"956,4"
