Aeg, Temperatuur
2025-09-06 01:00:00, 15.4030639731
2025-09-06 01:05:00, 15.3257142857
2025-09-06 01:10:00, 15.3623411371
2025-09-06 01:15:00, 15.3570568562
2025-09-06 01:20:00, 15.326910299
2025-09-06 01:25:00, 15.3678595318
2025-09-06 01:30:00, 15.4318027211
2025-09-06 01:35:00, 15.4028282828
2025-09-06 01:40:00, 15.3264569536
2025-09-06 01:45:00, 15.3244107744
2025-09-06 01:50:00, 15.3590508475
2025-09-06 01:55:00, 15.291650165
2025-09-06 02:00:00, 15.2997658863
2025-09-06 02:05:00, 15.2970333333
2025-09-06 02:10:00, 15.2110491803
2025-09-06 02:15:00, 15.2398026316
2025-09-06 02:20:00, 15.2781848185
2025-09-06 02:25:00, 15.2404934211
2025-09-06 02:30:00, 15.2647840532
2025-09-06 02:35:00, 15.3248484848
2025-09-06 02:40:00, 15.3962837838
2025-09-06 02:45:00, 15.3881879195
2025-09-06 02:50:00, 15.3843771044
2025-09-06 02:55:00, 15.3481605351
2025-09-06 03:00:00, 15.3565448505
2025-09-06 03:05:00, 15.280735786
2025-09-06 03:10:00, 15.1746843854
2025-09-06 03:15:00, 15.0805704698
2025-09-06 03:20:00, 14.9098989899
2025-09-06 03:25:00, 14.8011864407
2025-09-06 03:30:00, 14.7187671233
2025-09-06 03:35:00, 14.7140549828
2025-09-06 03:40:00, 14.6949140893
2025-09-06 03:45:00, 14.6746712803
2025-09-06 03:50:00, 14.709137931
2025-09-06 03:55:00, 14.6688659794
2025-09-06 04:00:00, 14.6689383562
2025-09-06 04:05:00, 14.6096219931
2025-09-06 04:10:00, 14.5607958478
2025-09-06 04:15:00, 14.5779655172
2025-09-06 04:20:00, 14.5712110727
2025-09-06 04:25:00, 14.5420415225
2025-09-06 04:30:00, 14.4988927336
2025-09-06 04:35:00, 14.4409342561
2025-09-06 04:40:00, 14.3863573883
2025-09-06 04:45:00, 14.2988541667
2025-09-06 04:50:00, 14.2822916667
2025-09-06 04:55:00, 14.2192041522
2025-09-06 05:00:00, 14.1750865052
2025-09-06 05:05:00, 14.0994444444
2025-09-06 05:10:00, 14.0623183391
2025-09-06 05:15:00, 14.042283737
2025-09-06 05:20:00, 14.0306597222
2025-09-06 05:25:00, 13.9964482759
2025-09-06 05:30:00, 13.9724221453
2025-09-06 05:35:00, 13.9430795848
2025-09-06 05:40:00, 13.9276206897
2025-09-06 05:45:00, 13.9329655172
2025-09-06 05:50:00, 13.9192733564
2025-09-06 05:55:00, 13.943137931
2025-09-06 06:00:00, 13.9353819444
2025-09-06 06:05:00, 13.9031034483
2025-09-06 06:10:00, 13.8772916667
2025-09-06 06:15:00, 13.9063321799
2025-09-06 06:20:00, 13.9211418685
2025-09-06 06:25:00, 13.9476124567
2025-09-06 06:30:00, 13.9792758621
2025-09-06 06:35:00, 14.0005190311
2025-09-06 06:40:00, 14.0683737024
2025-09-06 06:45:00, 14.117716263
2025-09-06 06:50:00, 14.1509407666
2025-09-06 06:55:00, 14.1792041522
2025-09-06 07:00:00, 14.1949134948
2025-09-06 07:05:00, 14.2164013841
2025-09-06 07:10:00, 14.1843252595
2025-09-06 07:15:00, 14.1711498258
2025-09-06 07:20:00, 14.2200692042
2025-09-06 07:25:00, 14.2390277778
2025-09-06 07:30:00, 14.2411458333
2025-09-06 07:35:00, 14.3
2025-09-06 07:40:00, 14.3521453287
2025-09-06 07:45:00, 14.3831597222
2025-09-06 07:50:00, 14.4450519031
2025-09-06 07:55:00, 14.5350694444
2025-09-06 08:00:00, 14.6043598616
2025-09-06 08:05:00, 14.6647586207
2025-09-06 08:10:00, 14.7343944637
2025-09-06 08:15:00, 14.7996206897
2025-09-06 08:20:00, 14.9007560137
2025-09-06 08:25:00, 14.9891349481
2025-09-06 08:30:00, 15.0509655172
2025-09-06 08:35:00, 15.1707317073
2025-09-06 08:40:00, 15.2492783505
2025-09-06 08:45:00, 15.2511458333
2025-09-06 08:50:00, 15.3657876712
2025-09-06 08:55:00, 15.3964013841
2025-09-06 09:00:00, 15.5560344828
2025-09-06 09:05:00, 15.595862069
2025-09-06 09:10:00, 15.6270242215
2025-09-06 09:15:00, 15.7972108844
2025-09-06 09:20:00, 15.9021305842
2025-09-06 09:25:00, 16.0936082474
2025-09-06 09:30:00, 16.4950340136
2025-09-06 09:35:00, 16.5748148148
2025-09-06 09:40:00, 16.7112627986
2025-09-06 09:45:00, 16.8037671233
2025-09-06 09:50:00, 17.0413103448
2025-09-06 09:55:00, 17.4336426117
2025-09-06 10:00:00, 17.7900689655
2025-09-06 10:05:00, 17.6535862069
2025-09-06 10:10:00, 17.9437370242
2025-09-06 10:15:00, 18.0795155709
2025-09-06 10:20:00, 18.4046206897
2025-09-06 10:25:00, 18.6363448276
2025-09-06 10:30:00, 19.2410996564
2025-09-06 10:35:00, 19.1923367698
2025-09-06 10:40:00, 18.9157931034
2025-09-06 10:45:00, 19.1310921502
2025-09-06 10:50:00, 19.0286851211
2025-09-06 10:55:00, 19.2121232877
2025-09-06 11:00:00, 19.2588965517
2025-09-06 11:05:00, 19.5364383562
2025-09-06 11:10:00, 19.540779661
2025-09-06 11:15:00, 19.894334471
2025-09-06 11:20:00, 20.4537248322
2025-09-06 11:25:00, 20.5766666667
2025-09-06 11:30:00, 20.6818181818
2025-09-06 11:35:00, 20.9362541806
2025-09-06 11:40:00, 20.8956291391
2025-09-06 11:45:00, 21.2269230769
2025-09-06 11:50:00, 21.2272425249
2025-09-06 11:55:00, 21.4764846416
2025-09-06 12:00:00, 21.682640264
2025-09-06 12:05:00, 21.7278114478
2025-09-06 12:10:00, 22.3331986532
2025-09-06 12:15:00, 22.4218333333
2025-09-06 12:20:00, 22.522218543
2025-09-06 12:25:00, 22.7227574751
2025-09-06 12:30:00, 23.0809
2025-09-06 12:35:00, 23.2230100334
2025-09-06 12:40:00, 23.0823411371
2025-09-06 12:45:00, 22.9102317881
2025-09-06 12:50:00, 23.0738283828
