Ajatempel (UTC);Tarbimine;Planeeritud tarbimine
1758153600;676.0;676.775
1758157200;678.7;692.0
1758160800;690.0;710.425
1758164400;771.4;779.725
1758168000;883.8;882.225
1758171600;999.8;959.575
1758175200;1009.7;963.675
1758178800;1023.6;979.575
1758182400;1046.4;959.9
1758186000;997.3;947.025
1758189600;978.8;987.95
1758193200;888.6;992.825
1758196800;867.5;1000.725
1758200400;842.7;959.475
1758204000;853.5;942.15
1758207600;886.2;945.725
1758211200;915.6;920.25
1758214800;906.7;915.975
1758218400;876.0;880.125
1758222000;809.1;828.775
1758225600;740.1;723.425
1758229200;724.3;694.7
1758232800;668.0;653.175
1758236400;627.0;615.475
1758240000;627.4;605.675
1758243600;650.4;646.525
1758247200;673.9;671.425
1758250800;768.0;747.75
1758254400;869.5;842.925
1758258000;953.8;927.8
1758261600;956.4;988.825
1758265200;931.7;985.175
1758268800;919.1;950.125
1758272400;889.1;956.25
1758276000;958.9;958.4
1758279600;883.3;910.4
1758283200;795.2;893.875
1758286800;759.1;906.0
1758290400;800.1;936.875
1758294000;856.2;928.525
1758297600;867.2;893.325
1758301200;863.3;880.025
1758304800;878.3;875.625
1758308400;799.3;826.3
1758312000;784.1;744.6
1758315600;734.7;718.2
1758319200;727.5;693.625
1758322800;684.7;704.35
1758326400;686.1;672.375
1758330000;682.6;675.525
1758333600;685.8;707.3
1758337200;713.4;718.475
1758340800;750.3;737.5
1758344400;811.7;796.275
1758348000;915.2;843.475
1758351600;972.4;873.125
1758355200;997.2;924.05
1758358800;1000.8;943.15
1758362400;983.8;904.625
1758366000;971.7;903.375
1758369600;937.2;908.75
1758373200;899.0;877.15
1758376800;881.3;841.675
1758380400;869.9;848.4
1758384000;899.4;842.95
1758387600;906.6;887.475
1758391200;851.1;825.025
1758394800;796.8;753.625
1758398400;748.3;717.5
1758402000;708.0;703.875
1758405600;681.6;653.1
1758409200;659.7;657.525
1758412800;645.9;653.9
1758416400;649.5;657.875
1758420000;653.1;662.4
1758423600;679.2;681.45
1758427200;740.7;699.275
1758430800;813.4;767.25
1758434400;882.8;820.4
1758438000;911.5;876.15
1758441600;801.3;889.375
1758445200;746.6;889.55
1758448800;845.8;811.0
1758452400;802.4;775.2
1758456000;740.5;788.425
1758459600;736.4;827.5
1758463200;761.3;855.4
1758466800;848.4;833.825
1758470400;901.0;850.85
1758474000;920.7;891.325
1758477600;862.9;876.275
1758481200;793.9;785.375
1758484800;738.2;725.35
1758488400;717.1;703.275
1758492000;679.0;675.375
1758495600;652.3;692.15
1758499200;653.0;677.2
1758502800;664.1;686.225
1758506400;696.1;723.875
1758510000;788.7;777.2
1758513600;973.7;908.925
1758517200;1057.0;985.15
1758520800;1055.4;984.275
1758524400;1123.5;992.375
1758528000;1103.2;1022.025
1758531600;1066.3;1044.85
1758535200;1099.3;1023.25
1758538800;1068.7;969.325
1758542400;971.3;972.9
1758546000;817.9;955.325
1758549600;844.0;971.725
1758553200;893.7;923.375
1758556800;928.6;901.55
1758560400;928.7;910.95
1758564000;890.1;856.95
1758567600;838.8;814.475
1758571200;763.1;753.35
1758574800;712.5;744.95
1758578400;706.1;693.775
1758582000;671.1;672.65
1758585600;661.2;671.55
1758589200;660.7;660.35
1758592800;706.5;703.5
1758596400;802.9;793.15
1758600000;975.4;945.725
1758603600;1021.0;992.9
1758607200;933.5;1029.275
1758610800;877.9;980.525
1758614400;854.7;980.425
1758618000;864.3;979.1
1758621600;908.5;957.125
1758625200;876.6;946.9
1758628800;931.1;946.225
1758632400;939.3;930.55
1758636000;949.7;940.875
1758639600;953.0;939.85
1758643200;957.0;921.575
1758646800;958.2;919.4
1758650400;912.4;915.65
1758654000;863.2;836.725
1758657600;779.1;771.95
1758661200;733.3;727.2
1758664800;705.3;680.275
1758668400;704.7;669.55
1758672000;704.5;665.55
1758675600;710.9;673.95
1758679200;715.5;694.975
1758682800;830.3;796.95
1758686400;958.5;871.1
1758690000;960.8;935.15
1758693600;849.8;982.6
1758697200;725.2;928.725
1758700800;765.6;884.425
1758704400;748.5;870.225
1758708000;706.7;866.65
1758711600;660.0;897.825
1758715200;684.8;890.475
1758718800;698.3;908.65
1758722400;775.8;858.25
1758726000;883.9;876.35
1758729600;937.1;879.825
1758733200;940.8;888.2
1758736800;919.1;888.275
1758740400;866.0;844.3
1758744000;796.6;777.4
1758747600;740.7;697.15
1758751200;700.4;663.4
1758754800;713.2;654.5
1758758400;724.6;658.575
1758762000;737.7;674.9
1758765600;749.8;690.6
1758769200;805.2;747.35
1758772800;1002.1;855.125
1758776400;991.8;933.75
1758780000;937.4;964.8
1758783600;847.2;988.325
1758787200;862.7;883.85
1758790800;801.1;870.8
1758794400;;918.975
1758798000;;974.1
1758801600;;926.275
1758805200;;890.525
1758808800;;901.9
1758812400;;915.325
1758816000;;917.35
1758819600;;926.95
1758823200;;896.9
1758826800;;807.725
1758830400;;734.25
1758834000;;696.4
1758837600;;
1758841200;;
