Ajatempel (UTC),Kuupäev (Eesti aeg),Tarbimine,datetime_hour,datetime_local,weekday,hour_local,consumption_hourly,date_local,segment,season,is_weekend,is_holiday,month_num,EE_avg_temp_C,bias_key,bias_factor,yhat_base,yhat_consumption,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,viga,viga_protsent
1758142800,18.09.2025 00:00,712.1,2025-09-17 21:00:00,2025-09-18 00:00:00+03:00,Thursday,0,710.4047396,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,20320.36755,727.65,"-2,43%",14.6,1.695260400000052,0.23806493470018986
1758146400,18.09.2025 01:00,681.7,2025-09-17 22:00:00,2025-09-18 01:00:00+03:00,Thursday,1,675.0178017,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,6.6821983000000955,0.9802256564471314
1758150000,18.09.2025 02:00,668.8,2025-09-17 23:00:00,2025-09-18 02:00:00+03:00,Thursday,2,659.9127948,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,8.887205199999926,1.328828528708123
1758153600,18.09.2025 03:00,676.0,2025-09-18 00:00:00,2025-09-18 03:00:00+03:00,Thursday,3,658.3971129,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,17.602887099999975,2.6039773816568013
1758157200,18.09.2025 04:00,678.7,2025-09-18 01:00:00,2025-09-18 04:00:00+03:00,Thursday,4,663.7454217,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,14.954578300000094,2.2034151024016637
1758160800,18.09.2025 05:00,690.0,2025-09-18 02:00:00,2025-09-18 05:00:00+03:00,Thursday,5,684.5714241,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,5.428575900000055,0.7867501304347906
1758164400,18.09.2025 06:00,771.4,2025-09-18 03:00:00,2025-09-18 06:00:00+03:00,Thursday,6,781.2272157,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,-9.82721570000001,-1.2739455146486922
1758168000,18.09.2025 07:00,883.8,2025-09-18 04:00:00,2025-09-18 07:00:00+03:00,Thursday,7,896.2515531,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,-12.45155310000007,-1.4088654786150792
1758171600,18.09.2025 08:00,999.8,2025-09-18 05:00:00,2025-09-18 08:00:00+03:00,Thursday,8,971.7802632,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,28.01973679999992,2.8025341868373594
1758175200,18.09.2025 09:00,1009.7,2025-09-18 06:00:00,2025-09-18 09:00:00+03:00,Thursday,9,979.6785475,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,30.02145250000001,2.9733041992671096
1758178800,18.09.2025 10:00,1023.6,2025-09-18 07:00:00,2025-09-18 10:00:00+03:00,Thursday,10,965.9154409,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,57.6845591,5.635459075810864
1758182400,18.09.2025 11:00,1046.4,2025-09-18 08:00:00,2025-09-18 11:00:00+03:00,Thursday,11,962.8427825,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,83.55721750000009,7.985208094418969
1758186000,18.09.2025 12:00,997.3,2025-09-18 09:00:00,2025-09-18 12:00:00+03:00,Thursday,12,952.2768722,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,45.0231278,4.514501935225108
1758189600,18.09.2025 13:00,978.8,2025-09-18 10:00:00,2025-09-18 13:00:00+03:00,Thursday,13,967.8688719,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,10.93112809999991,1.116788731099296
1758193200,18.09.2025 14:00,888.6,2025-09-18 11:00:00,2025-09-18 14:00:00+03:00,Thursday,14,955.592027,18.09.2025,workday,sügis,False,False,9,14.6,workday:sügis,1.011499,20089.36,20320.38,,,,,-66.99202700000001,-7.539053229799686
