datetime_local;weekday;hour_local;consumption_hourly;date_local;segment;season;is_weekend;is_holiday;month_num;EE_avg_temp_C;bias_key;bias_factor;yhat_base;yhat_consumption;;;
2025-09-18 00:00:00+03:00;Thursday;0;710,4047396;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;20320,36755;727,65;-2,43%
2025-09-18 01:00:00+03:00;Thursday;1;675,0178017;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 02:00:00+03:00;Thursday;2;659,9127948;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 03:00:00+03:00;Thursday;3;658,3971129;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 04:00:00+03:00;Thursday;4;663,7454217;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 05:00:00+03:00;Thursday;5;684,5714241;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 06:00:00+03:00;Thursday;6;781,2272157;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 07:00:00+03:00;Thursday;7;896,2515531;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 08:00:00+03:00;Thursday;8;971,7802632;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 09:00:00+03:00;Thursday;9;979,6785475;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 10:00:00+03:00;Thursday;10;965,9154409;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 11:00:00+03:00;Thursday;11;962,8427825;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 12:00:00+03:00;Thursday;12;952,2768722;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 13:00:00+03:00;Thursday;13;967,8688719;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 14:00:00+03:00;Thursday;14;955,592027;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 15:00:00+03:00;Thursday;15;927,6908534;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 16:00:00+03:00;Thursday;16;897,864619;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
2025-09-18 17:00:00+03:00;Thursday;17;902,1452768;18.09.2025;workday;sügis;FALSE;FALSE;9;14.juuni;workday:sügis;1,011499;20089,36;20320,38;;;
