Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;datetime_hour;Planeeritud tarbimine
1758326400;20.09.2025 03:00;686,1;2025-09-20 00:00:00+00:00;672,375
1758330000;20.09.2025 04:00;682,6;2025-09-20 01:00:00+00:00;675,525
1758333600;20.09.2025 05:00;685,8;2025-09-20 02:00:00+00:00;707,3
1758337200;20.09.2025 06:00;713,4;2025-09-20 03:00:00+00:00;718,475
1758340800;20.09.2025 07:00;750,3;2025-09-20 04:00:00+00:00;737,5
1758344400;20.09.2025 08:00;811,7;2025-09-20 05:00:00+00:00;796,275
1758348000;20.09.2025 09:00;915,2;2025-09-20 06:00:00+00:00;843,475
1758351600;20.09.2025 10:00;972,4;2025-09-20 07:00:00+00:00;873,125
1758355200;20.09.2025 11:00;997,2;2025-09-20 08:00:00+00:00;924,05
1758358800;20.09.2025 12:00;1000,8;2025-09-20 09:00:00+00:00;943,15
1758362400;20.09.2025 13:00;983,8;2025-09-20 10:00:00+00:00;904,625
1758366000;20.09.2025 14:00;971,7;2025-09-20 11:00:00+00:00;903,375
1758369600;20.09.2025 15:00;937,2;2025-09-20 12:00:00+00:00;908,75
1758373200;20.09.2025 16:00;899;2025-09-20 13:00:00+00:00;877,15
1758376800;20.09.2025 17:00;881,3;2025-09-20 14:00:00+00:00;841,675
1758380400;20.09.2025 18:00;869,9;2025-09-20 15:00:00+00:00;848,4
1758384000;20.09.2025 19:00;899,4;2025-09-20 16:00:00+00:00;842,95
1758387600;20.09.2025 20:00;906,6;2025-09-20 17:00:00+00:00;887,475
1758391200;20.09.2025 21:00;851,1;2025-09-20 18:00:00+00:00;825,025
1758394800;20.09.2025 22:00;796,8;2025-09-20 19:00:00+00:00;753,625
1758398400;20.09.2025 23:00;748,3;2025-09-20 20:00:00+00:00;717,5
1758402000;21.09.2025 00:00;708;2025-09-20 21:00:00+00:00;703,875
1758405600;21.09.2025 01:00;681,6;2025-09-20 22:00:00+00:00;653,1
1758409200;21.09.2025 02:00;659,7;2025-09-20 23:00:00+00:00;657,525
1758412800;21.09.2025 03:00;645,9;2025-09-21 00:00:00+00:00;653,9
1758416400;21.09.2025 04:00;649,5;2025-09-21 01:00:00+00:00;657,875
1758420000;21.09.2025 05:00;653,1;2025-09-21 02:00:00+00:00;662,4
1758423600;21.09.2025 06:00;679,2;2025-09-21 03:00:00+00:00;681,45
1758427200;21.09.2025 07:00;740,7;2025-09-21 04:00:00+00:00;699,275
1758430800;21.09.2025 08:00;813,4;2025-09-21 05:00:00+00:00;767,25
1758434400;21.09.2025 09:00;882,8;2025-09-21 06:00:00+00:00;820,4
1758438000;21.09.2025 10:00;911,5;2025-09-21 07:00:00+00:00;876,15
1758441600;21.09.2025 11:00;801,3;2025-09-21 08:00:00+00:00;889,375
1758445200;21.09.2025 12:00;746,6;2025-09-21 09:00:00+00:00;889,55
1758448800;21.09.2025 13:00;845,8;2025-09-21 10:00:00+00:00;811
1758452400;21.09.2025 14:00;802,4;2025-09-21 11:00:00+00:00;775,2
1758456000;21.09.2025 15:00;740,5;2025-09-21 12:00:00+00:00;788,425
1758459600;21.09.2025 16:00;736,4;2025-09-21 13:00:00+00:00;827,5
1758463200;21.09.2025 17:00;761,3;2025-09-21 14:00:00+00:00;855,4
1758466800;21.09.2025 18:00;848,4;2025-09-21 15:00:00+00:00;833,825
1758470400;21.09.2025 19:00;901;2025-09-21 16:00:00+00:00;850,85
1758474000;21.09.2025 20:00;920,7;2025-09-21 17:00:00+00:00;891,325
1758477600;21.09.2025 21:00;862,9;2025-09-21 18:00:00+00:00;876,275
1758481200;21.09.2025 22:00;793,9;2025-09-21 19:00:00+00:00;785,375
1758484800;21.09.2025 23:00;738,2;2025-09-21 20:00:00+00:00;725,35
1758488400;22.09.2025 00:00;717,1;2025-09-21 21:00:00+00:00;703,275
1758492000;22.09.2025 01:00;679;2025-09-21 22:00:00+00:00;675,375
1758495600;22.09.2025 02:00;652,3;2025-09-21 23:00:00+00:00;692,15
