Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;Planeeritud tarbimine
1758326400;20.09.2025 03:00;686,1;672,375
1758330000;20.09.2025 04:00;682,6;675,525
1758333600;20.09.2025 05:00;685,8;707,3
1758337200;20.09.2025 06:00;713,4;718,475
1758340800;20.09.2025 07:00;750,3;737,5
1758344400;20.09.2025 08:00;811,7;796,275
1758348000;20.09.2025 09:00;915,2;843,475
1758351600;20.09.2025 10:00;972,4;873,125
1758355200;20.09.2025 11:00;997,2;924,05
1758358800;20.09.2025 12:00;1000,8;943,15
1758362400;20.09.2025 13:00;983,8;904,625
1758366000;20.09.2025 14:00;971,7;903,375
1758369600;20.09.2025 15:00;937,2;908,75
1758373200;20.09.2025 16:00;899;877,15
1758376800;20.09.2025 17:00;881,3;841,675
1758380400;20.09.2025 18:00;869,9;848,4
1758384000;20.09.2025 19:00;899,4;842,95
1758387600;20.09.2025 20:00;906,6;887,475
1758391200;20.09.2025 21:00;851,1;825,025
1758394800;20.09.2025 22:00;796,8;753,625
1758398400;20.09.2025 23:00;748,3;717,5
1758402000;21.09.2025 00:00;708;703,875
1758405600;21.09.2025 01:00;681,6;653,1
1758409200;21.09.2025 02:00;659,7;657,525
1758412800;21.09.2025 03:00;645,9;653,9
1758416400;21.09.2025 04:00;649,5;657,875
1758420000;21.09.2025 05:00;653,1;662,4
1758423600;21.09.2025 06:00;679,2;681,45
1758427200;21.09.2025 07:00;740,7;699,275
1758430800;21.09.2025 08:00;813,4;767,25
1758434400;21.09.2025 09:00;882,8;820,4
1758438000;21.09.2025 10:00;911,5;876,15
1758441600;21.09.2025 11:00;801,3;889,375
1758445200;21.09.2025 12:00;746,6;889,55
1758448800;21.09.2025 13:00;845,8;811
1758452400;21.09.2025 14:00;802,4;775,2
1758456000;21.09.2025 15:00;740,5;788,425
1758459600;21.09.2025 16:00;736,4;827,5
1758463200;21.09.2025 17:00;761,3;855,4
1758466800;21.09.2025 18:00;848,4;833,825
1758470400;21.09.2025 19:00;901;850,85
1758474000;21.09.2025 20:00;920,7;891,325
1758477600;21.09.2025 21:00;862,9;876,275
1758481200;21.09.2025 22:00;793,9;785,375
1758484800;21.09.2025 23:00;738,2;725,35
1758488400;22.09.2025 00:00;717,1;703,275
1758492000;22.09.2025 01:00;679;675,375
1758495600;22.09.2025 02:00;652,3;692,15
1758499200;22.09.2025 03:00;653;677,2
1758502800;22.09.2025 04:00;664,1;686,225
1758506400;22.09.2025 05:00;696,1;723,875
1758510000;22.09.2025 06:00;788,7;777,2
1758513600;22.09.2025 07:00;973,7;908,925
1758517200;22.09.2025 08:00;1057;985,15
1758520800;22.09.2025 09:00;1055,4;984,275
1758524400;22.09.2025 10:00;1123,5;992,375
1758528000;22.09.2025 11:00;1103,2;1022,025
1758531600;22.09.2025 12:00;1066,3;1044,85
1758535200;22.09.2025 13:00;1099,3;1023,25
1758538800;22.09.2025 14:00;1068,7;969,325
1758542400;22.09.2025 15:00;971,3;972,9
1758546000;22.09.2025 16:00;817,9;955,325
1758549600;22.09.2025 17:00;844;971,725
1758553200;22.09.2025 18:00;893,7;923,375
1758556800;22.09.2025 19:00;928,6;901,55
1758560400;22.09.2025 20:00;928,7;910,95
1758564000;22.09.2025 21:00;890,1;856,95
1758567600;22.09.2025 22:00;838,8;814,475
1758571200;22.09.2025 23:00;763,1;753,35
1758574800;23.09.2025 00:00;712,5;744,95
1758578400;23.09.2025 01:00;706,1;693,775
1758582000;23.09.2025 02:00;671,1;672,65
1758585600;23.09.2025 03:00;661,2;671,55
1758589200;23.09.2025 04:00;660,7;660,35
1758592800;23.09.2025 05:00;706,5;703,5
1758596400;23.09.2025 06:00;802,9;793,15
1758600000;23.09.2025 07:00;975,4;945,725
1758603600;23.09.2025 08:00;1021;992,9
1758607200;23.09.2025 09:00;933,5;1029,275
1758610800;23.09.2025 10:00;877,9;980,525
1758614400;23.09.2025 11:00;;980,425
1758618000;23.09.2025 12:00;;973,2
1758621600;23.09.2025 13:00;;976,25
1758625200;23.09.2025 14:00;;991,225
1758628800;23.09.2025 15:00;;976,45
1758632400;23.09.2025 16:00;;950,325
1758636000;23.09.2025 17:00;;1008,8
1758639600;23.09.2025 18:00;;993,725
1758643200;23.09.2025 19:00;;986,525
1758646800;23.09.2025 20:00;;979,925
1758650400;23.09.2025 21:00;;913,925
1758654000;23.09.2025 22:00;;846,425
1758657600;23.09.2025 23:00;;776,3
1758661200;24.09.2025 00:00;;860,25
1758664800;24.09.2025 01:00;;
1758668400;24.09.2025 02:00;;
