Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;weekday;hour_local;consumption_hourly;season;is_weekend;is_holiday;EE_avg_temp_C;bias_key;bias_factor;yhat_base;yhat_consumption;viga;viga_protsent;elering_forecast;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent;na_reason
;;;Saturday;0;677.5384476094622;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;;;;;;;;"missing_actual;missing_elering_forecast"
;;;Saturday;1;644.7015240897159;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;;;;;;;;"missing_actual;missing_elering_forecast"
;;;Saturday;2;624.0201164202656;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;;;;;;;;"missing_actual;missing_elering_forecast"
1758326400.0;20.09.2025 03:00;686.1;Saturday;3;611.0461494790037;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;75.05385052099632;10.939199901034298;672.375;-61.3288505209963;-9.121227071351;13.725000000000023;2.0412716118237624;OK
1758330000.0;20.09.2025 04:00;682.6;Saturday;4;608.6927242215169;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;73.90727577848315;10.82731845568168;675.525;-66.83227577848311;-9.893383039633338;7.0750000000000455;1.047333555382857;OK
1758333600.0;20.09.2025 05:00;685.8;Saturday;5;614.248621481103;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;71.55137851889697;10.43327187502143;707.3;-93.05137851889697;-13.155857276812805;-21.5;-3.0397285451717804;OK
1758337200.0;20.09.2025 06:00;713.4;Saturday;6;638.1596710824099;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;75.24032891759009;10.546723986205507;718.475;-80.31532891759014;-11.178583655324143;-5.0750000000000455;-0.706357214934416;OK
1758340800.0;20.09.2025 07:00;750.3;Saturday;7;698.9926128287747;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;51.30738717122529;6.838249656300852;737.5;-38.50738717122533;-5.221340633386486;12.799999999999955;1.7355932203389768;OK
1758344400.0;20.09.2025 08:00;811.7;Saturday;8;745.2228402036283;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;66.47715979637178;8.189868152811602;796.275;-51.05215979637171;-6.411372929750615;15.425000000000068;1.9371448306175716;OK
1758348000.0;20.09.2025 09:00;915.2;Saturday;9;793.3753616511112;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;121.82463834888881;13.311258560848863;843.475;-50.09963834888879;-5.939670808131691;71.72500000000002;8.503512255846353;OK
1758351600.0;20.09.2025 10:00;972.4;Saturday;10;805.6165430750382;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;166.7834569249618;17.151733538149095;873.125;-67.50845692496182;-7.731820406581168;99.27499999999998;11.370078740157478;OK
1758355200.0;20.09.2025 11:00;997.2;Saturday;11;832.3039506195416;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;164.8960493804584;16.535905473371283;924.05;-91.74604938045832;-9.9286888567132;73.15000000000009;7.916238298793366;OK
1758358800.0;20.09.2025 12:00;1000.8;Saturday;12;858.3704477619846;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;142.4295522380154;14.231569967827278;943.15;-84.77955223801541;-8.988978660660067;57.64999999999998;6.1124953612892945;OK
1758362400.0;20.09.2025 13:00;983.8;Saturday;13;862.5795357169558;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;121.22046428304418;12.321657276178511;904.625;-42.045464283044225;-4.647833553466267;79.17499999999995;8.752245405554783;OK
1758366000.0;20.09.2025 14:00;971.7;Saturday;14;849.136658295856;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;122.56334170414402;12.613290285493878;903.375;-54.23834170414398;-6.003967533321597;68.32500000000005;7.5633042756330475;OK
1758369600.0;20.09.2025 15:00;937.2;Saturday;15;808.2920254997521;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;128.90797450024797;13.754585414025605;908.75;-100.45797450024793;-11.054522641017654;28.450000000000045;3.1306740027510367;OK
1758373200.0;20.09.2025 16:00;899.0;Saturday;16;781.5165232283671;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;117.48347677163292;13.068239907856832;877.15;-95.6334767716329;-10.902750586744903;21.850000000000023;2.4910220600809465;OK
1758376800.0;20.09.2025 17:00;881.3;Saturday;17;774.3284701353846;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;106.97152986461538;12.137924641395141;841.675;-67.34652986461538;-8.00148868204656;39.625;4.70787417946357;OK
1758380400.0;20.09.2025 18:00;869.9;Saturday;18;766.5597930136721;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;103.34020698632787;11.87955017660971;848.4;-81.84020698632787;-9.646417608006585;21.5;2.5341819896275344;OK
1758384000.0;20.09.2025 19:00;899.4;Saturday;19;777.0856814267406;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;122.31431857325936;13.599546205610336;842.95;-65.86431857325942;-7.813549863367865;56.44999999999993;6.696719852897553;OK
1758387600.0;20.09.2025 20:00;906.6;Saturday;20;769.8193448296793;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;136.78065517032076;15.087211026949124;887.475;-117.65565517032076;-13.257348676900278;19.125;2.154990281416378;OK
1758391200.0;20.09.2025 21:00;851.1;Saturday;21;758.8395158103141;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;92.26048418968594;10.84014618607519;825.025;-66.1854841896859;-8.022239833906355;26.075000000000045;3.160510287567049;OK
1758394800.0;20.09.2025 22:00;796.8;Saturday;22;732.3196685897866;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;64.48033141021335;8.092411070558905;753.625;-21.305331410213398;-2.827046795185059;43.174999999999955;5.7289766130369815;OK
1758398400.0;20.09.2025 23:00;748.3;Saturday;23;690.5537729299352;sügis;True;False;15.17;offday:sügis;1.020297;17370.73;17723.32;57.74622707006472;7.716988783918846;717.5;-26.946227070064765;-3.7555717170821974;30.799999999999955;4.292682926829262;OK
1758402000.0;21.09.2025 00:00;708.0;Sunday;0;651.4789116056397;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;56.52108839436028;7.983204575474615;703.875;-52.39608839436028;-7.443947916087413;4.125;0.5860415556739478;OK
1758405600.0;21.09.2025 01:00;681.6;Sunday;1;617.3603881800967;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;64.2396118199033;9.424825677802714;653.1;-35.7396118199033;-5.472303141923641;28.5;4.3638033991731735;OK
1758409200.0;21.09.2025 02:00;659.7;Sunday;2;601.0498011197127;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;58.65019888028735;8.890434876502553;657.525;-56.47519888028728;-8.589057279995025;2.175000000000068;0.3307859016767527;OK
1758412800.0;21.09.2025 03:00;645.9;Sunday;3;590.9743272191813;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;54.92567278081867;8.503742495869124;653.9;-62.92567278081867;-9.623133931919051;-8.0;-1.2234286588163328;OK
1758416400.0;21.09.2025 04:00;649.5;Sunday;4;588.5788732150742;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;60.92112678492583;9.379696194753786;657.875;-69.29612678492583;-10.533327271126861;-8.375;-1.2730381911457345;OK
1758420000.0;21.09.2025 05:00;653.1;Sunday;5;591.3869409590352;sügis;True;False;16.9;offday:sügis;1.020297;16705.42;17044.5;61.71305904096482;9.449251116362703;662.4;-71.01305904096478;-10.720570507392026;-9.299999999999955;-1.40398550724637;OK
