Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;weekday;hour_local;consumption_hourly;season;is_weekend;is_holiday;EE_avg_temp_C;bias_key;bias_factor;yhat_base;yhat_consumption;viga;viga_protsent;elering_forecast;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent
1758153600;18.09.2025 03:00;676.0;Thursday;0;710.4047396;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-34.40473959999997;-5.089458520710055;676.775;33.62973959999999;4.96911670791622;-0.7749999999999773;-0.1145136862324963
1758157200;18.09.2025 04:00;678.7;Thursday;1;675.0178017;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;3.682198300000096;0.5425369529983933;692.0;-16.98219830000005;-2.454074898843938;-13.299999999999956;-1.9219653179190683
1758160800;18.09.2025 05:00;690.0;Thursday;2;659.9127948;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;30.08720519999997;4.360464521739126;710.425;-50.512205199999926;-7.1101390294541895;-20.424999999999955;-2.875039588978422
1758164400;18.09.2025 06:00;771.4;Thursday;3;658.3971129;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;113.00288709999997;14.64906495981332;779.725;-121.3278871;-15.560343338997724;-8.325000000000045;-1.0676841194010769
1758168000;18.09.2025 07:00;883.8;Thursday;4;663.7454217;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;220.0545783;24.8986850305499;882.225;-218.47957830000007;-24.764609742412656;1.5749999999999318;0.178525886253499
1758171600;18.09.2025 08:00;999.8;Thursday;5;684.5714241;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;315.2285759;31.529163422684537;959.575;-275.0035759000001;-28.658893353828528;40.22499999999991;4.191959982283814
1758175200;18.09.2025 09:00;1009.7;Thursday;6;781.2272157;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;228.4727843000001;22.627788877884523;963.675;-182.4477843;-18.93250154875866;46.02500000000009;4.775987755207938
1758178800;18.09.2025 10:00;1023.6;Thursday;7;896.2515531;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;127.3484469;12.441231623681125;979.575;-83.32344690000002;-8.506081402649109;44.02499999999998;4.494295995712425
1758182400;18.09.2025 11:00;1046.4;Thursday;8;971.7802632;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;74.61973680000006;7.131091055045876;959.9;11.88026320000006;1.2376563392020064;86.50000000000011;9.011355349515586
1758186000;18.09.2025 12:00;997.3;Thursday;9;979.6785475;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;17.62145249999992;1.7669159229920706;947.025;32.65354750000006;3.448013252026088;50.27499999999998;5.308729970169741
